"folio","region","a2","f4","edad","d31","d34","factor","sexo","ingreso"
"30-29-46-48","7",1,-999,37,1,1,15205.720703125,"Hombre",401500
"08-31-02-84","7",1,400000,51,1,1,17981.68359375,"Hombre",400000
"96-85-58-44","7",1,1300000,33,1,2,985.13134765625,"Hombre",1300000
"26-45-28-98","7",1,NA,23,1,2,12504.3671875,"Hombre",401500
"29-69-07-60","7",1,-888,20,1,1,12077.6484375,"Hombre",401500
"50-71-12-96","7",1,990000,68,1,2,11384.326171875,"Hombre",990000
"28-31-40-50","7",1,400000,36,1,1,24809.30859375,"Hombre",400000
"78-40-67-72","7",1,580000,29,1,1,15455.1337890625,"Hombre",580000
"18-07-90-18","8",1,NA,60,1,1,8357.7431640625,"Hombre",401500
"06-28-37-35","8",1,380000,53,1,1,4547.13916015625,"Hombre",380000
"54-12-62-30","8",1,450000,67,1,1,3228.98266601562,"Hombre",450000
"70-81-75-40","8",1,NA,21,1,1,8241.52734375,"Hombre",401500
"14-32-88-43","8",1,111000,21,1,1,2637.4921875,"Hombre",111000
"45-16-07-83","8",1,400000,52,1,1,939.990539550781,"Hombre",400000
"19-50-62-92","8",1,NA,68,1,1,1368.99658203125,"Hombre",401500
"32-79-94-72","8",1,750000,28,3,3,10205.0107421875,"Hombre",750000
"39-74-95-41","8",1,NA,46,1,2,9598.85546875,"Hombre",401500
"51-61-93-11","8",1,1200000,53,1,2,2563.30932617188,"Hombre",1200000
"59-23-10-39","8",1,1100000,37,1,1,1452.51391601562,"Hombre",1100000
"55-76-57-60","8",1,500000,59,1,1,7968.9130859375,"Hombre",500000
"02-66-09-25","8",1,600000,60,1,1,8365.7724609375,"Hombre",600000
"18-69-82-30","8",1,560000,69,1,1,4379.67529296875,"Hombre",560000
"25-82-35-90","8",1,350000,57,2,1,20826.4375,"Hombre",350000
"15-77-03-02","8",1,1800000,45,1,1,4450.89453125,"Hombre",1800000
"81-11-92-97","8",1,NA,22,1,1,25947.640625,"Hombre",401500
"49-50-88-10","8",1,500000,48,1,1,21945.20703125,"Hombre",500000
"60-46-13-81","8",1,NA,46,1,1,13464.6748046875,"Hombre",401500
"98-68-13-41","8",1,400000,58,1,1,23095.404296875,"Hombre",400000
"69-27-05-39","8",1,1000000,39,1,1,6625.95654296875,"Hombre",1000000
"43-30-81-56","8",1,NA,25,2,1,14877.5458984375,"Hombre",401500
"15-77-58-66","8",1,1300000,50,1,1,31919.736328125,"Hombre",1300000
"58-43-99-49","8",1,700000,39,1,2,3617.11401367188,"Hombre",700000
"99-66-28-72","8",1,NA,23,1,1,22060.8984375,"Hombre",401500
"23-39-55-19","8",1,150000,60,1,1,5099.79345703125,"Hombre",150000
"55-92-14-13","8",1,320000,65,1,1,2363.3154296875,"Hombre",320000
"40-78-59-55","8",1,530000,61,1,1,5255.3994140625,"Hombre",530000
"52-81-16-10","8",1,650000,50,1,1,6123.4501953125,"Hombre",650000
