"folio","region","a2","f4","edad","d31","d34","factor","sexo","ingreso"
"12-77-72-19","8",2,NA,37,1,1,9812.880859375,"Mujer",401500
"05-17-32-73","9",2,1500000,56,1,1,8351.755859375,"Mujer",1500000
"15-52-03-22","9",2,200000,54,1,1,5106.61474609375,"Mujer",200000
"30-30-62-46","9",2,NA,59,1,1,4964.859375,"Mujer",401500
"78-54-32-46","9",2,NA,75,2,1,13912.8935546875,"Mujer",401500
"70-59-65-33","9",2,NA,70,1,1,1366.25366210938,"Mujer",401500
"23-72-28-51","9",2,600000,26,1,1,11860.091796875,"Mujer",600000
"48-06-02-69","9",2,240000,45,1,1,2654.89721679688,"Mujer",240000
"29-34-31-95","9",2,NA,63,1,2,16129.6845703125,"Mujer",401500
"31-50-36-03","9",2,200000,47,1,1,10105.505859375,"Mujer",200000
"92-95-82-30","9",2,-888,27,1,1,8744.6552734375,"Mujer",401500
"90-19-96-88","9",2,600000,28,1,1,10288.615234375,"Mujer",600000
"61-54-85-31","9",2,NA,25,1,2,17721.99609375,"Mujer",401500
"89-98-22-76","9",2,NA,20,1,1,29137.892578125,"Mujer",401500
"84-18-78-84","9",2,NA,67,1,1,3720.62817382812,"Mujer",401500
"86-44-97-21","9",2,NA,79,1,1,3974.23120117188,"Mujer",401500
"36-35-81-91","9",2,1300000,57,1,1,5759.9912109375,"Mujer",1300000
"56-14-15-81","9",2,NA,58,1,1,4435.5673828125,"Mujer",401500
"41-42-06-34","9",2,-999,37,1,1,3089.517578125,"Mujer",401500
"89-80-97-33","9",2,200000,40,2,2,5152.34716796875,"Mujer",200000
"25-39-54-23","9",2,1900000,39,1,1,5118.12451171875,"Mujer",1900000
"66-39-57-86","9",2,NA,23,1,1,13837.4619140625,"Mujer",401500
"95-88-22-02","9",2,NA,34,1,1,7671.35498046875,"Mujer",401500
"00-98-91-36","9",2,900000,25,1,1,18806.974609375,"Mujer",900000
"88-53-44-93","9",2,650000,27,1,1,27425.8671875,"Mujer",650000
"76-24-12-63","9",2,NA,50,1,3,9259.091796875,"Mujer",401500
"96-87-33-91","9",2,NA,37,1,1,4516.05078125,"Mujer",401500
"31-72-20-67","9",2,100000,48,1,1,7919.5888671875,"Mujer",100000
"40-46-84-50","9",2,NA,38,1,1,13796.4248046875,"Mujer",401500
"12-90-49-23","9",2,NA,55,1,1,17935.669921875,"Mujer",401500
"79-80-42-03","9",2,NA,82,1,1,5735.294921875,"Mujer",401500
"51-21-37-04","9",2,260000,60,1,1,11335.0791015625,"Mujer",260000
"78-18-41-17","9",2,NA,63,1,1,17823.408203125,"Mujer",401500
"73-28-70-84","9",2,370000,30,1,1,8203.8701171875,"Mujer",370000
"41-78-72-00","9",2,NA,65,1,1,12422.9794921875,"Mujer",401500
"73-45-57-06","9",2,NA,61,1,1,6774.20654296875,"Mujer",401500
"01-84-82-04","9",2,900000,28,1,3,21298.63671875,"Mujer",900000
"34-07-54-67","10",2,NA,46,1,1,22183.76171875,"Mujer",401500
"10-20-85-58","10",2,400000,52,1,1,5424.37744140625,"Mujer",400000
"64-34-40-00","10",2,NA,56,1,1,5456.21826171875,"Mujer",401500
"45-01-41-48","10",2,320000,52,1,1,5099.14794921875,"Mujer",320000
"89-88-22-10","10",2,NA,32,1,1,9690.83984375,"Mujer",401500
"18-04-71-05","10",2,160000,25,1,1,9429.10546875,"Mujer",160000
"86-68-21-75","10",2,0,54,1,1,7352.47265625,"Mujer",0
"82-17-41-07","10",2,270000,57,1,1,4629.97021484375,"Mujer",270000
"62-48-96-97","10",2,NA,59,1,1,2191.16333007812,"Mujer",401500
"51-57-79-14","10",2,240000,56,1,1,3615.81884765625,"Mujer",240000
"26-28-79-49","10",2,NA,42,1,1,6642.42333984375,"Mujer",401500
"69-14-43-32","10",2,NA,24,1,1,6250.6396484375,"Mujer",401500
"56-30-63-41","10",2,280000,55,1,2,4489.68408203125,"Mujer",280000
